Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
The Anthropomorphism of #Hurricane #Sandy #SandyNJ on #network #tv is annoying.,0.4408146031200886,55,32,37,19,1,0.14215134,0.10385644,0.06827822,0.06581093,0.06071767
#Hurricane #Irene is near 35.2N 76.4W and is moving NNE at 13 mph.,0.25920890644192696,12,25,45,62,34,0.10837307,0.044919267,0.036295705,0.035710674,0.033910193
"Hurricane Jose taking an odd, looping path, but forecast is 'tricky'",0.32509781420230865,22,25,12,62,20,0.12282764,0.08178621,0.045697108,0.03876135,0.036025506
“@Telegraph: Superstorm Sandy: New York subway system flooded in 'worst ever disaster' ”,0.3759716600179672,0,39,12,3,40,0.13029687,0.07482732,0.063958354,0.060610034,0.04627908
Hurricane Sandy Relief Jam This Sunday @ Mulcahys via,0.20542383939027786,33,11,21,17,20,0.05270396,0.04321528,0.038362417,0.035589192,0.03555299
I guess tonight is everyone's halloween on the east coast because of hurricane sandy. Ha!,0.30392877757549286,20,54,42,19,53,0.08820012,0.063132875,0.054147303,0.053105325,0.045343153
@arneroock do you have any contact info :-),0.27965452894568443,24,33,47,8,41,0.07442717,0.06780575,0.053276952,0.04286984,0.041274812
C batteries? Nope. AA? Neither. #Hurricane #Sandy @ CVS,0.2734542638063431,55,32,56,37,19,0.079465,0.068442956,0.045401968,0.0426389,0.037505437
"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 3561 others",0.21479074284434319,31,63,30,53,51,0.05551094,0.04863593,0.04115386,0.035036426,0.03445359
Hurricane Sandy Relief Jam This Sunday @ Mulcahys via,0.20542383939027786,33,11,21,17,20,0.05270396,0.04321528,0.038362417,0.035589192,0.03555299
"14時25分発 快速 大船 行きに乗車 (@ JR秋葉原駅 3-4番線ホーム - @jreast_official in 千代田区, 東京都)",0.34919503331184387,59,61,63,54,21,0.08698032,0.07824429,0.06876197,0.06284132,0.052367136
Superstorm Sandy pushes US jobless claims to 439K: Superstorm Sandy drove the number of people seeking unemployment...,0.292694628238678,32,55,0,19,25,0.07880665,0.06836891,0.052216455,0.05176899,0.04153362
Rock the Rep to Benefit Hurricane Sandy Victims via,0.2976257987320423,33,13,61,21,30,0.076402254,0.06836509,0.052135054,0.051835272,0.04888813
I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @danielacaicedo @missambear,0.2506171390414238,11,51,31,33,30,0.061400175,0.05924719,0.053073216,0.038992252,0.037904307
