Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Guarida Nacional del #USArmy vienen rescatando caballos atrapados por #HurricaneHarvey cerca de…,0.3634580373764038,11,48,24,57,40,0.13760258,0.08531387,0.061789718,0.04151247,0.037239395
GRASSROOTS & BLACK POWER ALERT: Millions #Harvey $$$ are being raised & distributed without…,0.25100434571504593,57,13,58,44,31,0.087334946,0.045260336,0.04243669,0.038811393,0.03716098
"Some people weren't so lucky 😔#fuckharvey #hurricaneharvey #houston #texas @ Meyerland, Houston",0.21038061752915382,34,55,46,35,5,0.049224965,0.04476859,0.044580396,0.036637474,0.03516919
#Volunteer ranks are thinning as Houston gets back to work: #Harvey,0.1632709950208664,42,34,41,12,33,0.04354471,0.032147154,0.030590005,0.029825883,0.027163243
"The sun is out, it's a beautiful day but don't forget those still hurting from #Harvey. @Fox26Houston",0.26291800662875175,8,47,31,11,24,0.058883842,0.057903625,0.053272728,0.04701448,0.045843333
"assessing the damage..😔 #hurricaneharvey #rockport #texas #copanobay @ Rockport, Texas",0.26271290332078934,11,46,34,48,44,0.07606408,0.06484134,0.057562217,0.03415167,0.0300936
To get you through the storm #harvey #houston #htown hold it down💪 djrakuttz@youtube.com @ Third…,0.4210464470088482,57,13,21,61,58,0.13421616,0.08425297,0.074741706,0.06874505,0.059090566
"Shrimp 🍤 #watercolor #art #rockporttexas #rockport #rockportstrong #harvey @ Sailhouse-Rockport,…",0.2377846036106348,36,39,54,57,11,0.103921704,0.05366926,0.031165069,0.025563871,0.0234647
Texas folks in the Big Apple pulling together to help New York style. #flove #hurricaneharvey @…,0.33660125732421875,31,33,13,57,17,0.08538537,0.08373244,0.059765078,0.055098157,0.052620213
Come out and help us assist those affected by Hurricane #Harvey. #faiththroughharvey…,0.42194996774196625,21,61,58,34,33,0.23155889,0.07013151,0.045365684,0.04288018,0.032013703
#fromtgerooftop #hurricaneharvey #roofrpairscheck #roofphoto #fromthetop #highlevel…,0.2074216715991497,11,57,48,34,58,0.06416541,0.046380192,0.03827532,0.029488051,0.029112695
My little buddies are safe #hurricaneharvey #safeandsound #triplets #lovetheseguys @ Fort Bend…,0.25057099759578705,61,8,59,58,53,0.077316575,0.04995115,0.04230889,0.04124239,0.03975199
Help us in spreading the word about our hurricane relief efforts. #irma #harvey #relief #help…,0.31825561821460724,21,34,43,20,45,0.16343112,0.048315596,0.036847502,0.035178825,0.034482572
#hurricaneharvey #roofrepairs #hurricaneharvey2017 #afterthestorm #fixingtheroofs…,0.19821078144013882,11,57,48,58,34,0.05685933,0.047320366,0.035151023,0.030591542,0.02828852
"#houstonstrong #hoUSton #cleaning #traffic #harvey #huracanharvey @ Houston, Texas",0.21381331235170364,11,48,21,57,34,0.06690195,0.040408134,0.0375377,0.035226487,0.033739038
Hurricane 🌀 Relief at Queens College #hurricaneirma #hurricaneharvey #hurricanekatia…,0.22822583466768265,20,17,21,33,57,0.053335357,0.049609184,0.046810318,0.044114444,0.03435653
"After #hurricaneharvey hot, humid, soaked in perspiration riding #backroads and #countrytrails…",0.3455531671643257,45,39,52,42,43,0.0968945,0.08307522,0.0738121,0.048725255,0.043046094
Embracing the new adventure - volunteering for #redcross for #hurracaine #harvey relief.…,0.30180009454488754,53,63,33,10,7,0.07625469,0.064926386,0.058893412,0.05138511,0.0503405
"🌪 #Hurricane #Harvey: There were so many levels to the chaos, to the devastation, to the eery…",0.3257967345416546,11,24,46,34,47,0.10143106,0.0762267,0.06186466,0.04391729,0.04235703
"The Moose Lodge in #Horseheads is hosting a #HurricaneHarvey dinner. For just $5, people get…",0.1954100765287876,12,25,19,0,33,0.054143406,0.037350256,0.036772102,0.03361506,0.03352925
Everything is bigger in #texas Our #hurricaneharvey our #donations and our #bigassfans ☺️☺️ @…,0.4039689116179943,61,57,21,47,8,0.13914208,0.09341716,0.08447097,0.04420366,0.042735036
"Do the work, the reward will come! #HoustonStrong #Harvey #ConnectTheDots @…",0.41444922983646393,57,58,11,61,21,0.1788896,0.09093641,0.051363695,0.04695013,0.046309393
2nite #hurricaneharvey #fundraiser & #dragshow 8pm Dinner 9pm Show #rupaulsdragrace Divas…,0.2865387313067913,63,57,58,54,59,0.083488785,0.07193356,0.051588986,0.040154595,0.039372806
Bunch of fine NYC locals putting their talents up for a good cause 🙏🏻 #hurricaneharvey #relief…,0.25194958969950676,33,57,40,50,31,0.08776017,0.044808008,0.041700695,0.04007147,0.037609246
All these donations and more still coming in #HurricaneHarvey #Houston,0.17250419035553932,42,45,12,19,41,0.03979602,0.035344962,0.033198554,0.032880556,0.031284098
#CelebWhoGive #Maxim #Model #LarissaDali supports #hurricaneharvey #volunteer #efforts in…,0.26965396851301193,57,33,40,21,11,0.07068354,0.05632308,0.05594228,0.045477167,0.041227903
"Couldn't take the traffic, waitin it out at AMC#harvey…",0.1872754469513893,42,11,62,31,33,0.044826847,0.037085462,0.036634043,0.03472708,0.034002014
"Cleaning supplies! #Harvey #HoustonStrong #ConnectTheDots @ North Houston,…",0.22061115130782127,63,33,57,30,42,0.05787695,0.046711933,0.04074046,0.04055297,0.03472884
@RGUinstoftrauma crew #realmenreaddirections #hurricaneharvey @ William P. Hobby Airport,0.3002925366163254,53,54,33,50,31,0.07954165,0.06399875,0.06074484,0.05007244,0.045934852
#teamrubicon #donate #charity #awesomepeople #veterans #hurricaneharvey Why I donate to Team…,0.24268922582268715,34,57,46,21,3,0.0718689,0.051448748,0.04626726,0.03783514,0.035269182
Were you and your family impacted by #HurricaneHarvey ? Come out to the George Foreman Youth &…,0.4688692446798086,11,48,61,21,63,0.28214356,0.06553843,0.049084052,0.04156715,0.03053605
Rockport Destruction 9/20/17 (2 of 2) #RockportStrong #RebuildRockport #HurricaneHarvey…,0.22404642403125763,57,58,46,24,42,0.06692544,0.04854714,0.036750026,0.036729436,0.035094377
@marysarahmusic came back home 2 #texasstrong 2 raise funds 4 #hurricaneharvey victims…,0.25334795005619526,34,21,46,33,54,0.084832534,0.049294744,0.04595433,0.042515438,0.030750902
😂#FloridaBeLike #onlyinflorida #miami #hurricaneirma #hurricaneharvey #memes #lol @ Florida,0.22061584889888763,31,54,30,11,57,0.06319666,0.05234226,0.039501,0.03336984,0.032206092
Rockport Destruction 9/20/17 (1 of 2) #RockportStrong #RebuildRockport #HurricaneHarvey…,0.22404642403125763,57,58,46,24,42,0.06692544,0.04854714,0.036750026,0.036729436,0.035094377
NYC! We're excited to be giving alongside @holisticitilyfe and @harlemcycle for #hurricaneharvey…,0.2823064997792244,61,58,33,53,63,0.060731262,0.05967365,0.056738477,0.053277165,0.051885948
Checking on the #HurricaneHarvey donation trailer in the parking lot. We can do MUCH...,0.3800022788345814,57,33,58,31,50,0.15053655,0.08423952,0.054586478,0.04752321,0.043116517
#foodiechap🍴🍷Join @MCFUSA Chefs For a #HurricaneHarvey Benefit Dinner @PiperadeSFSun…,0.34146278351545334,33,36,50,57,54,0.124406874,0.06931424,0.055245694,0.050374355,0.04212162
I just want to thank those who donated to the fund I created for #Harvey relief sooooo much. I…,0.3517834208905697,8,47,21,24,61,0.08602718,0.078232564,0.07225853,0.06655374,0.0487114
#paintandsip #paintitforward #hurricaneharvey #houston #unitedwestand #jerseylovestexas @…,0.2217730674892664,11,57,48,21,34,0.07206874,0.045927208,0.0416267,0.032319438,0.02983098
"After nearly 2 weeks of #harvey coverage, look who came by to cheer…",0.2645469717681408,61,33,57,40,58,0.06133571,0.056956105,0.056457072,0.0525936,0.037204485
Relief efforts in #Harlem and #TheBronx Call or email#hurricaneHarvey…,0.27639637514948845,33,20,53,7,17,0.08053485,0.053465247,0.05156629,0.045741875,0.04508811
#HurricaneHarvey Revelation: God’s PLAN is for PEOPLE to rescue each other! Weeks after…,0.43932828307151794,21,17,57,40,33,0.1341978,0.113562055,0.07771803,0.06908194,0.04476846
Come support! A proceed of bar sales will be donated to the victims of #HurricaneHarvey and…,0.347199447453022,33,21,61,59,57,0.10593492,0.083267,0.072685435,0.044630732,0.04068136
🐶🐶🐶🐶🐶🐶bmissing this little thing for no reason 😭😭😭😭😭#Harvey #Halfbeagle @ Brockwell Park,0.2558957003057003,11,55,32,57,21,0.062961675,0.061017036,0.050130565,0.041215383,0.04057104
"#Repost univision・・・Ante los efectos de los huracanes #Harvey, #Irma y #María y de los…",0.2971072793006897,11,48,57,30,24,0.07565329,0.0670208,0.063163586,0.049105935,0.042163663
Getting the trash away from the neighborhood finally 👍 #hurricaneharvey #hurricanerelief…,0.32625819742679596,17,40,21,33,53,0.09933135,0.08091453,0.056472823,0.04802199,0.041517507
If you know anyone who was impacted by #HurricaneHarvey & needs assistance for their horses ask them to email RMRHHHF@hotmail.com Please Rt,0.32952723652124405,21,33,7,16,63,0.14139134,0.057146616,0.05376778,0.039370283,0.037851218
#carineazooloo explains that one squirrel that died in the #hurricaneharvey @carine_touma @…,0.2739576995372772,34,46,27,12,5,0.09782256,0.07049081,0.03708102,0.03535972,0.033203587
Heading down to Houston to cook and serve the #HurricaneHarvey victims. See you soon Houston.. @…,0.4407124985009432,30,31,33,7,44,0.27737564,0.053064983,0.05227693,0.029091347,0.028903598
LA!! #HurricaneRelief for those #affected by #HurricaneHarvey is happening in your area!! #TGTHR…,0.3615149259567261,40,57,33,61,58,0.07757702,0.07721982,0.07265694,0.06855051,0.06551064
#Naguabo #PuertoRico#hurricaneHarvey #hurricaneIrma #hurricaneJose #hurricaneKatia…,0.2074216715991497,11,57,48,34,58,0.06416541,0.046380192,0.03827532,0.029488051,0.029112695
Setting up camp for a weekend of help #HurricaneHarvey @ Montgomery Creek Ranch,0.32143207639455795,36,33,61,57,31,0.10579886,0.07330517,0.051940147,0.048610967,0.041776933
Jupiter closing in? Lol.. jk.. Here in Houston for the #HurricaneHarvey victims. @ Montgomery…,0.20506055653095245,12,54,62,31,42,0.04770793,0.042240813,0.041773938,0.036696646,0.03664123
#Foster carers needed in #Texas. Help @AustinHumane with resources for #HoustonFloods as they…,0.34497423842549324,33,21,50,40,34,0.13998878,0.06542082,0.05299107,0.04395706,0.04261651
Nice picture of the setup here.. #HurricaneHarvey @ Montgomery Creek Ranch,0.30094250477850437,33,31,6,39,36,0.12133173,0.064215235,0.051517155,0.032880694,0.030997692
