Text,Top5%,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
"HomeFront Rallies, Despite Demands Due to the Effects of Hurricane Sandy - http://t.co/oQi4BxMc #Lawrenceville #NewJersey",0.17303221486508846,33,24,57,32,58,0.04279694,0.035732422,0.035593536,0.029692585,0.029216733
"Well, thanks to Hurricane Sandy, I get to stay home and watch scary movies and drink! #HurricaneSandy #hunkerdown #frankenstorm",0.2646210677921772,33,62,52,10,12,0.07377742,0.05734828,0.051344287,0.044690624,0.037460454
Omg this Hurricane Sandy aftermath on the news is so sad 😭,0.6503705978393555,34,46,45,5,27,0.29020682,0.12924773,0.08567441,0.074401274,0.070840366
OMG GIANTS ARE ON THE VERGE OF WINNING FOR FACING ADVERSITY OF HURRICANE SANDY.,0.3515649549663067,32,55,12,19,37,0.11153461,0.0751765,0.062729694,0.053750813,0.048373338
#lohudsandy #lohud #sandy #hurricane  @ Davenport Park http://t.co/64ia8iSc,0.1716864127665758,57,24,11,34,55,0.041200954,0.037299912,0.036562134,0.029536149,0.027087264
Can't take a storm named Arthur seriously...,0.2793646678328514,56,28,12,19,0,0.06598707,0.06389058,0.054094013,0.04921596,0.046177045
Hurricane Irene - stay safe everyone,0.42922794446349144,48,21,11,8,33,0.19102769,0.08101469,0.07847844,0.04229764,0.036409486
Prayers for the victims in the path of Hurricane Sandy . #GodBeWithYou,0.7380562610924244,21,46,61,8,59,0.41031215,0.104754545,0.09967536,0.06452833,0.05878588
Hurricane Irene Deaths http://t.co/ba5jA97 via http://t.co/0wNg32u,0.33923276513814926,34,46,27,51,45,0.10952664,0.08681722,0.053869758,0.04477769,0.044241454
This hurricane is lame. (@ Hurricane Irene 2011 Baltimore w/ @katie_blaha) [pic]: http://t.co/ORAZmkm,0.22921359539031982,24,19,30,55,47,0.08791567,0.03810004,0.035478916,0.03426584,0.033453133
Galloway Road Compost Accepting Branches in Wake of Hurricane Irene - http://t.co/EIFPVEK #Galloway #NewJersey,0.216155294328928,33,63,31,54,24,0.055558864,0.04381444,0.039784674,0.03884586,0.038151458
Hurricane Harvey has moved on from our part of town. The sun is out and these ladies wanted to… https://t.co/r3Vn3S9xaR,0.2228789869695902,12,19,25,22,34,0.06486055,0.04696707,0.04556158,0.034804717,0.030685065
"I'm at Frankenstorm Apocalypse - Hurricane Sandy (New York, NY) w/ 2831 others http://t.co/M00gkuCj",0.2332482598721981,31,63,30,53,24,0.05488626,0.05262489,0.04428573,0.04288143,0.038569953
"I'm at Faculdade Estácio de Sá in Belo Horizonte, MG https://t.co/adBltou4Og",0.2576627805829048,24,50,33,57,30,0.055982754,0.05593104,0.05039316,0.04978784,0.045567986
Live Updates: Hurricane Matthew slams Florida’s east coast https://t.co/BBFNafWhbT,0.2898174487054348,33,31,30,61,63,0.082598746,0.06533366,0.056516696,0.043241367,0.042126983
"PRE HURRICANE MATTHEW VIDEO, BE SAFE GUYS!
AS OF 12 PM, MATTHEW HAS GAINED STRENGTH AND IS NOW A… https://t.co/PbICe9O6OZ",0.3897955156862736,21,57,61,63,33,0.14775047,0.12096765,0.04649249,0.038021114,0.036563795
An hour of respite from rain can do wonders. #houston #hurricane #harvey #sheltie #sheltiepage… https://t.co/Tyrk06sEzX,0.22429330088198185,57,11,33,21,63,0.062002465,0.051996253,0.044714093,0.03564082,0.029939668
Hurricane Sandy Relief Jam This Sunday @ Mulcahys http://t.co/2UuMdAIP via http://t.co/or8vndcY,0.19453126564621925,33,53,20,11,45,0.042942833,0.041157115,0.040446278,0.037156753,0.032828286
Woodser-1 Jillian-0,0.3827285021543503,57,58,24,47,63,0.21227528,0.052794155,0.05214079,0.03676477,0.028753504
Hunkering down with Tiina (@ Frankenstorm Apocalypse - Hurricane Sandy w/ 1260 others) http://t.co/3uqFoTYz,0.2010050117969513,33,24,31,53,54,0.047552608,0.04406572,0.04057174,0.034544278,0.034270663
Hurricane Arthur is ruining my plans this weekend,0.5416195914149284,55,32,37,1,19,0.14084163,0.1290068,0.100818574,0.08725662,0.08369596
Really starting to blow hard now in Manhattan #Hurricane #Sandy,0.269551869481802,37,32,55,42,12,0.07097791,0.069569044,0.046440143,0.04494146,0.037623312
"Taking on Hurricane Nate w/ my girls🖤 #LockinParty @ Pensacola, Florida https://t.co/983X7b87hR",0.26903699338436127,31,30,54,61,44,0.066742145,0.059127487,0.05644817,0.04653787,0.040181324
"""@toriisBALLINyo: chris christie praises obama for his response to hurricane sandy. apocalypse, i told y'all."" I'm ready for it",0.3751160427927971,40,17,44,31,58,0.12383838,0.086686164,0.057136323,0.054784372,0.052670803
I'm at Frankenstorm Apocalypse - Hurricane Sandy w/ @endoriinibudi http://t.co/dpw5zpz,0.2321031503379345,51,31,42,30,11,0.05677652,0.05427412,0.041743625,0.041221466,0.03808742
What if  hurricane Sandy only brings a drizzle to Harrisburg,0.4532272256910801,12,25,41,22,20,0.20405637,0.07170715,0.07124747,0.058752067,0.047464166
"My mom sent it, this is what hurricane sandy did n there she still stands thought id share it cuz its an awesome pic! http://t.co/4Tr0QA7f",0.28428331948816776,33,53,40,7,6,0.111380726,0.06237162,0.047600523,0.03178447,0.03114598
"Q&A: A look at Mexican coast in path of Hurricane Patricia: Hurricane Patricia, the strongest storm recorded in the… https://t.co/OiI2SJWIJF",0.2751092351973057,33,57,12,40,31,0.07996448,0.057606287,0.053676553,0.046531174,0.03733074
"@dannyteale97 yeaaah;), hehe xxxxx",0.470607440918684,24,47,16,49,23,0.23775867,0.09036809,0.057118893,0.04338978,0.04197201
FLASH: NY Governor Cuomo declares state of emergency to prepare for potential impact of Hurricane Irene,0.2006585579365492,34,12,33,62,21,0.06543893,0.036556695,0.035587624,0.032272395,0.030802911
Operational Activity on Stewart International Airport (New Windsor)  will be closed at noon due to the approach of Hurricane Irene,0.2537961043417454,32,34,55,33,62,0.065116204,0.057810426,0.045746755,0.043975256,0.041147463
@growingwisdom time to prepare for #sandy with @RedCross free hurricane app http://t.co/ts6RhFYN,0.4148193821310997,33,54,50,31,53,0.12577507,0.09188422,0.07337072,0.06592821,0.057861164
NEW: 16 Feb : Sons Of Noel And Adrian  in BRUSSEL. Check http://t.co/BqCrEVIZ. #BRUSSEL #EventinBrussels,0.27078358083963394,33,53,31,63,57,0.083932556,0.049459003,0.047902104,0.046021707,0.04346821
Real! #hurricane #sandy #photo @ Fireground World HQ http://t.co/vtLGqB9R,0.28747592866420746,24,57,58,47,33,0.09915498,0.05715724,0.048177626,0.04720345,0.03578263
"PHOTO GALLERY: Hurricane Irene Topples Trees, Makes a Mess Across Virginia http://t.co/U1LirL0 via http://t.co/2uv1sQO",0.22505147010087967,20,52,25,22,62,0.050237853,0.0468406,0.044039376,0.042964563,0.040969077
Hurricane Irene Exposes Traffic Law Myth http://t.co/sSiK5y1 via http://t.co/9KoylHD,0.22941794991493225,55,32,19,45,42,0.052736767,0.047145747,0.0451627,0.042187564,0.042185172
"UPDATE 9-Threat of Hurricane Sandy grows as it targets US East Coast
http://t.co/SrtzZzLx",0.23885503038764,33,32,31,19,55,0.055974297,0.052197766,0.048843883,0.041334074,0.04050501
