OBJECTID,STORMNAME,DTG,YEAR_,MONTH_,DAY_,HHMM,TAU,MSLP,BASIN,STORMNUM,STORMTYPE,INTENSITY,SS,LAT,LON,TIME_,X,Y,TIME_2
1,INVEST,2012102118,2012,10,21,1800,0,1006,AL,18,Low,25,0,14.3,-77.4,201210211800,-8616128.75726,1608657.42861,2012/10/21 18:00:00+00
2,INVEST,2012102200,2012,10,22,0000,0,1005,AL,18,Low,25,0,13.9,-77.8,201210220000,-8660656.72344,1562746.25566,2012/10/22 00:00:00+00
3,INVEST,2012102206,2012,10,22,0600,0,1003,AL,18,Low,25,0,13.5,-78.2,201210220600,-8705183.84031,1516914.44534,2012/10/22 06:00:00+00
4,EIGHTEEN,2012102212,2012,10,22,1200,0,1002,AL,18,Tropical Depression,30,0,13.1,-78.6,201210221200,-8749711.80649,1471159.38872,2012/10/22 12:00:00+00
5,EIGHTEEN,2012102218,2012,10,22,1800,0,1000,AL,18,Tropical Storm,35,0,12.7,-78.7,201210221800,-8760843.58571,1425478.49764,2012/10/22 18:00:00+00
6,SANDY,2012102300,2012,10,23,0000,0,998,AL,18,Tropical Storm,40,0,12.6,-78.4,201210230000,-8727448.24805,1414069.67317,2012/10/23 00:00:00+00
7,SANDY,2012102306,2012,10,23,0600,0,998,AL,18,Tropical Storm,40,0,12.9,-78.1,201210230600,-8694052.06109,1448309.75859,2012/10/23 06:00:00+00
8,SANDY,2012102312,2012,10,23,1200,0,995,AL,18,Tropical Storm,40,0,13.4,-77.9,201210231200,-8671788.50266,1505468.52814,2012/10/23 12:00:00+00
9,SANDY,2012102318,2012,10,23,1800,0,993,AL,18,Tropical Storm,45,0,14,-77.6,201210231800,-8638392.3157,1574216.54816,2012/10/23 18:00:00+00
10,SANDY,2012102400,2012,10,24,0000,0,990,AL,18,Tropical Storm,55,0,14.7,-77.3,201210240000,-8604996.97804,1654650.26536,2012/10/24 00:00:00+00
11,SANDY,2012102406,2012,10,24,0600,0,987,AL,18,Tropical Storm,60,0,15.6,-77.1,201210240600,-8582732.5703,1758446.49716,2012/10/24 06:00:00+00
12,SANDY,2012102412,2012,10,24,1200,0,981,AL,18,Hurricane1,65,1,16.6,-76.9,201210241200,-8560469.01186,1874311.97873,2012/10/24 12:00:00+00
13,SANDY,2012102418,2012,10,24,1800,0,972,AL,18,Hurricane1,75,1,17.7,-76.7,201210241800,-8538204.60412,2002463.83784,2012/10/24 18:00:00+00
14,,2012102419,2012,10,24,1900,0,971,AL,18,Hurricane1,75,1,17.9,-76.6,201210241900,-8527072.8249,2025846.98785,2012/10/24 19:00:00+00
15,SANDY,2012102500,2012,10,25,0000,0,964,AL,18,Hurricane2,85,2,18.9,-76.4,201210250000,-8504809.26647,2143166.02094,2012/10/25 00:00:00+00
16,,2012102505,2012,10,25,0500,0,954,AL,18,Hurricane3,100,3,20,-76,201210250500,-8460281.30029,2273030.92699,2012/10/25 05:00:00+00
17,SANDY,2012102506,2012,10,25,0600,0,954,AL,18,Hurricane3,100,3,20.1,-76,201210250600,-8460281.30029,2284881.11529,2012/10/25 06:00:00+00
18,,2012102509,2012,10,25,0900,0,960,AL,18,Hurricane2,95,2,20.9,-75.7,201210250900,-8426885.11333,2379958.59746,2012/10/25 09:00:00+00
19,SANDY,2012102512,2012,10,25,1200,0,966,AL,18,Hurricane2,95,2,21.7,-75.5,201210251200,-8404621.55489,2475544.62518,2012/10/25 12:00:00+00
20,SANDY,2012102518,2012,10,25,1800,0,963,AL,18,Hurricane2,90,2,23.3,-75.3,201210251800,-8382357.99645,2668339.01328,2012/10/25 18:00:00+00
21,SANDY,2012102600,2012,10,26,0000,0,965,AL,18,Hurricane1,75,1,24.8,-75.9,201210260000,-8449149.52107,2851198.9586,2012/10/26 00:00:00+00
22,SANDY,2012102606,2012,10,26,0600,0,968,AL,18,Hurricane1,70,1,25.7,-76.4,201210260600,-8504809.26647,2961971.94758,2012/10/26 06:00:00+00
